City,State,Population
Madison,Wisconcin,254977
Chicago,Illinois,2710000
New Work,New Work,8419000
Orlando,Florida,280832
Milwaukee,Winconsin,594548
Miami,Florida,454279
Springfield,Illinois,115888
San Francisco,California,874961
